GlobalRnd   ClientID  LocEpoch    Accuracy    Loss        
14          6         10          10.0900     0.000001    
14          7         10          9.8200      0.000004    
14          8         10          10.1000     0.000004    
14          9         10          9.5800      0.000005    
15          0         10          9.7400      0.000000    
15          1         10          11.3500     0.000112    
15          2         10          8.9200      0.000021    
15          3         10          9.8000      0.000002    
15          4         10          10.2800     0.000018    
15          5         10          10.3200     0.000001    
15          6         10          10.0900     0.000002    
15          7         10          9.8200      0.000004    
15          8         10          10.1000     0.000006    
15          9         10          9.5800      0.000003    
16          0         10          9.7400      0.000000    
16          1         10          11.3500     0.000105    
16          2         10          8.9200      0.000022    
16          3         10          9.8000      0.000011    
16          4         10          10.2800     0.000021    
16          5         10          10.3200     0.000003    
16          6         10          10.0900     0.000002    
16          7         10          9.8200      0.000004    
16          8         10          10.1000     0.000005    
16          9         10          9.5800      0.000005    
17          0         10          9.7400      0.000000    
17          1         10          11.3500     0.000114    
17          2         10          8.9200      0.000028    
17          3         10          9.8000      0.000002    
17          4         10          10.2800     0.000011    
17          5         10          10.3200     0.000003    
17          6         10          10.0900     0.000002    
17          7         10          9.8200      0.000003    
17          8         10          10.1000     0.000007    
17          9         10          9.5800      0.000002    
18          0         10          9.7400      0.000000    
18          1         10          11.3500     0.000115    
18          2         10          8.9200      0.000022    
18          3         10          9.8000      0.000009    
18          4         10          10.2800     0.000019    
18          5         10          10.3200     0.000003    
18          6         10          10.0900     0.000001    
18          7         10          9.8200      0.000004    
18          8         10          10.1000     0.000003    
18          9         10          9.5800      0.000005    
19          0         10          9.7400      0.000000    
19          1         10          11.3500     0.000111    
19          2         10          8.9200      0.000023    
19          3         10          9.8000      0.000002    
19          4         10          10.2800     0.000016    
19          5         10          10.3200     0.000003    
19          6         10          10.0900     0.000002    
19          7         10          9.8200      0.000004    
19          8         10          10.1000     0.000007    
19          9         10          9.5800      0.000003    
20          0         10          9.7400      0.000000    
20          1         10          11.3500     0.000098    
20          2         10          8.9200      0.000019    
20          3         10          9.8000      0.000016    
20          4         10          10.2800     0.000016    
20          5         10          10.3200     0.000003    
20          6         10          10.0900     0.000002    
20          7         10          9.8200      0.000004    
20          8         10          10.1000     0.000004    
20          9         10          9.5800      0.000007    
21          0         10          9.7400      0.000000    
21          1         10          11.3500     0.000114    
21          2         10          8.9200      0.000028    
21          3         10          9.8000      0.000002    
21          4         10          10.2800     0.000018    
21          5         10          10.3200     0.000004    
21          6         10          10.0900     0.000002    
21          7         10          9.8200      0.000006    
21          8         10          10.1000     0.000007    
21          9         10          9.5800      0.000002    
22          0         10          9.7400      0.000000    
22          1         10          11.3500     0.000103    
22          2         10          8.9200      0.000038    
22          3         10          9.8000      0.000016    
22          4         10          10.2800     0.000021    
22          5         10          10.3200     0.000003    
22          6         10          10.0900     0.000002    
22          7         10          9.8200      0.000005    
22          8         10          10.1000     0.000003    
22          9         10          9.5800      0.000006    
23          0         10          9.7400      0.000000    
23          1         10          11.3500     0.000116    
23          2         10          8.9200      0.000021    
23          3         10          9.8000      0.000002    
23          4         10          10.2800     0.000013    
23          5         10          10.3200     0.000002    
23          6         10          10.0900     0.000001    
23          7         10          9.8200      0.000006    
23          8         10          10.1000     0.000006    
23          9         10          9.5800      0.000002    
24          0         10          9.7400      0.000000    
24          1         10          11.3500     0.000103    
24          2         10          8.9200      0.000026    
24          3         10          9.8000      0.000017    
24          4         10          10.2800     0.000013    
24          5         10          10.3200     0.000003    
24          6         10          10.0900     0.000001    
24          7         10          9.8200      0.000004    
24          8         10          10.1000     0.000003    
24          9         10          9.5800      0.000005    
25          0         10          9.7400      0.000000    
25          1         10          11.3500     0.000110    
25          2         10          8.9200      0.000033    
25          3         10          9.8000      0.000002    
25          4         10          10.2800     0.000012    
25          5         10          10.3200     0.000003    
25          6         10          10.0900     0.000002    
25          7         10          9.8200      0.000005    
25          8         10          10.1000     0.000008    
25          9         10          9.5800      0.000003    
26          0         10          9.7400      0.000000    
26          1         10          11.3500     0.000086    
26          2         10          8.9200      0.000023    
26          3         10          9.8000      0.000027    
26          4         10          10.2800     0.000022    
26          5         10          10.3200     0.000003    
26          6         10          10.0900     0.000001    
26          7         10          9.8200      0.000003    
26          8         10          10.1000     0.000003    
26          9         10          9.5800      0.000007    
27          0         10          9.7400      0.000000    
27          1         10          11.3500     0.000110    
27          2         10          8.9200      0.000019    
27          3         10          9.8000      0.000003    
27          4         10          10.2800     0.000010    
27          5         10          10.3200     0.000002    
27          6         10          10.0900     0.000002    
27          7         10          9.8200      0.000003    
27          8         10          10.1000     0.000008    
27          9         10          9.5800      0.000001    
28          0         10          9.7400      0.000000    
28          1         10          11.3500     0.000097    
28          2         10          8.9200      0.000030    
28          3         10          9.8000      0.000013    
28          4         10          10.2800     0.000025    
28          5         10          10.3200     0.000004    
28          6         10          10.0900     0.000002    
28          7         10          9.8200      0.000003    
28          8         10          10.1000     0.000003    
28          9         10          9.5800      0.000006    
29          0         10          9.7400      0.000000    
29          1         10          11.3500     0.000106    
29          2         10          8.9200      0.000026    
29          3         10          9.8000      0.000004    
29          4         10          10.2800     0.000011    
29          5         10          10.3200     0.000002    
29          6         10          10.0900     0.000001    
29          7         10          9.8200      0.000005    
29          8         10          10.1000     0.000010    
29          9         10          9.5800      0.000002    
30          0         10          9.7400      0.000000    
30          1         10          11.3500     0.000088    
30          2         10          8.9200      0.000019    
30          3         10          9.8000      0.000018    
30          4         10          10.2800     0.000033    
30          5         10          10.3200     0.000004    
30          6         10          10.0900     0.000001    
30          7         10          9.8200      0.000003    
30          8         10          10.1000     0.000001    
30          9         10          9.5800      0.000007    
31          0         10          9.7400      0.000000    
31          1         10          11.3500     0.000100    
31          2         10          8.9200      0.000022    
31          3         10          9.8000      0.000003    
31          4         10          10.2800     0.000009    
31          5         10          10.3200     0.000003    
31          6         10          10.0900     0.000002    
31          7         10          9.8200      0.000005    
31          8         10          10.1000     0.000012    
31          9         10          9.5800      0.000002    
32          0         10          9.7400      0.000000    
32          1         10          11.3500     0.000098    
32          2         10          8.9200      0.000024    
32          3         10          9.8000      0.000026    
32          4         10          10.2800     0.000034    
32          5         10          10.3200     0.000004    
32          6         10          10.0900     0.000002    
32          7         10          9.8200      0.000002    
32          8         10          10.1000     0.000004    
32          9         10          9.5800      0.000008    
33          0         10          9.7400      0.000000    
33          1         10          11.3500     0.000096    
33          2         10          8.9200      0.000030    
33          3         10          9.8000      0.000002    
33          4         10          10.2800     0.000011    
33          5         10          10.3200     0.000002    
33          6         10          10.0900     0.000002    
33          7         10          9.8200      0.000009    
33          8         10          10.1000     0.000007    
33          9         10          9.5800      0.000002    
34          0         10          9.7400      0.000000    
34          1         10          11.3500     0.000097    
34          2         10          8.9200      0.000021    
34          3         10          9.8000      0.000030    
34          4         10          10.2800     0.000022    
34          5         10          10.3200     0.000005    
34          6         10          10.0900     0.000001    
34          7         10          9.8200      0.000003    
34          8         10          10.1000     0.000003    
34          9         10          9.5800      0.000007    
35          0         10          9.7400      0.000000    
35          1         10          11.3500     0.000094    
35          2         10          8.9200      0.000022    
35          3         10          9.8000      0.000002    
35          4         10          10.2800     0.000008    
35          5         10          10.3200     0.000001    
35          6         10          10.0900     0.000001    
35          7         10          9.8200      0.000005    
35          8         10          10.1000     0.000012    
35          9         10          9.5800      0.000002    
36          0         10          9.7400      0.000000    
36          1         10          11.3500     0.000093    
36          2         10          8.9200      0.000013    
36          3         10          9.8000      0.000030    
36          4         10          10.2800     0.000027    
36          5         10          10.3200     0.000005    
36          6         10          10.0900     0.000001    
36          7         10          9.8200      0.000003    
36          8         10          10.1000     0.000002    
36          9         10          9.5800      0.000009    
37          0         10          9.7400      0.000000    
37          1         10          11.3500     0.000075    
37          2         10          8.9200      0.000025    
37          3         10          9.8000      0.000002    
37          4         10          10.2800     0.000008    
37          5         10          10.3200     0.000003    
37          6         10          10.0900     0.000002    
37          7         10          9.8200      0.000003    
37          8         10          10.1000     0.000008    
37          9         10          9.5800      0.000002    
38          0         10          9.7400      0.000000    
38          1         10          11.3500     0.000112    
38          2         10          8.9200      0.000017    
