GlobalRnd   ClientID  LocEpoch    Accuracy    Loss        
13          2         10          8.9200      0.000000    
13          3         10          9.8000      0.000000    
13          4         10          10.2800     0.000000    
13          5         10          10.3200     0.000000    
13          6         10          10.0900     0.000000    
13          7         10          9.8200      0.000000    
13          8         10          10.1000     0.000011    
13          9         10          9.5800      0.000000    
14          0         10          9.7400      0.000000    
14          1         10          11.3500     0.000000    
14          2         10          8.9200      0.000000    
14          3         10          9.8000      0.000000    
14          4         10          10.2800     0.000000    
14          5         10          10.3200     0.000000    
14          6         10          10.0900     0.000000    
14          7         10          9.8200      0.000000    
14          8         10          10.1000     0.000000    
14          9         10          9.5800      0.000000    
15          0         10          9.7400      0.000000    
15          1         10          11.3500     0.000000    
15          2         10          8.9200      0.000000    
15          3         10          9.8000      0.000000    
15          4         10          10.2800     0.000000    
15          5         10          10.3200     0.000000    
15          6         10          10.0900     0.000000    
15          7         10          9.8200      0.000000    
15          8         10          10.1000     0.000000    
15          9         10          9.5800      0.000000    
16          0         10          9.7400      0.000000    
16          1         10          11.3500     0.000000    
16          2         10          8.9200      0.000000    
16          3         10          9.8000      0.000000    
16          4         10          10.2800     0.000000    
16          5         10          10.3200     0.000000    
16          6         10          10.0900     0.000000    
16          7         10          9.8200      0.000000    
16          8         10          10.1000     0.000000    
16          9         10          9.5800      0.000006    
17          0         10          9.7400      0.000000    
17          1         10          11.3500     0.000000    
17          2         10          8.9200      0.000000    
17          3         10          9.8000      0.000000    
17          4         10          10.2800     0.000000    
17          5         10          10.3200     0.000000    
17          6         10          10.0900     0.000000    
17          7         10          9.8200      0.000000    
17          8         10          10.1000     0.000000    
17          9         10          9.5800      0.000000    
18          0         10          9.7400      0.000000    
18          1         10          11.3500     0.000000    
18          2         10          8.9200      0.000000    
18          3         10          9.8000      0.000000    
18          4         10          10.2800     0.000000    
18          5         10          10.3200     0.000000    
18          6         10          10.0900     0.000000    
18          7         10          9.8200      0.000000    
18          8         10          10.1000     0.000000    
18          9         10          9.5800      0.000000    
19          0         10          9.7400      0.000000    
19          1         10          11.3500     0.000000    
19          2         10          8.9200      0.000005    
19          3         10          9.8000      0.000001    
19          4         10          10.2800     0.000001    
19          5         10          10.3200     0.000000    
19          6         10          10.0900     0.000005    
19          7         10          9.8200      0.000003    
19          8         10          10.1000     0.000002    
19          9         10          9.5800      0.000002    
20          0         10          9.7400      0.000000    
20          1         10          11.3500     0.000011    
20          2         10          8.9200      0.000000    
20          3         10          9.8000      0.000000    
20          4         10          10.2800     0.000000    
20          5         10          10.3200     0.000000    
20          6         10          10.0900     0.000000    
20          7         10          9.8200      0.000000    
20          8         10          10.1000     0.000000    
20          9         10          9.5800      0.000000    
21          0         10          9.7400      0.000000    
21          1         10          11.3500     0.000000    
21          2         10          8.9200      0.000000    
21          3         10          9.8000      0.000000    
21          4         10          10.2800     0.000000    
21          5         10          10.3200     0.000000    
21          6         10          10.0900     0.000000    
21          7         10          9.8200      0.000000    
21          8         10          10.1000     0.000000    
21          9         10          9.5800      0.000002    
22          0         10          9.7400      0.000000    
22          1         10          11.3500     0.000000    
22          2         10          8.9200      0.000000    
22          3         10          9.8000      0.000000    
22          4         10          10.2800     0.000000    
22          5         10          10.3200     0.000000    
22          6         10          10.0900     0.000000    
22          7         10          9.8200      0.000000    
22          8         10          10.1000     0.000000    
22          9         10          9.5800      0.000000    
23          0         10          9.7400      0.000000    
23          1         10          11.3500     0.000000    
23          2         10          8.9200      0.000000    
23          3         10          9.8000      0.000000    
23          4         10          10.2800     0.000000    
23          5         10          10.3200     0.000000    
23          6         10          10.0900     0.000000    
23          7         10          9.8200      0.000000    
